success,cache_line_sz,cache_queue_size,cache_size,cache_hit_latency,cache_bandwidth,cycle,power,area
TRUE,32,32,16384,1,16,66461,62.3798,1107870
TRUE,32,128,131072,3,10,70679,125.894,3145760
TRUE,64,32,32768,4,13,72017,61.4086,1294760
TRUE,64,128,32768,4,14,71961,61.4471,1294760
TRUE,16,32,16384,1,11,74951,59.0014,1116910
TRUE,64,32,131072,1,14,64630,133.08,2861180
TRUE,64,64,131072,4,9,72203,122.725,2871060
TRUE,32,64,131072,1,12,65718,135.845,3091340
TRUE,32,32,131072,3,16,70365,125.687,3101220
TRUE,32,64,32768,3,8,70347,64.0645,1294390
TRUE,64,64,16384,2,11,68206,60.6062,1086710
TRUE,32,64,131072,1,8,65392,138.814,3145000
TRUE,32,32,32768,4,8,74003,62.1409,1338930
TRUE,16,32,131072,4,16,77097,128.158,3131260
TRUE,64,64,131072,3,7,68932,126.146,2871060
TRUE,64,128,131072,4,6,72713,121.937,2871060
TRUE,16,32,65536,3,10,76378,72.0975,2056710
TRUE,16,64,65536,1,16,70179,77.4543,2046830
TRUE,16,64,65536,3,11,76162,72.3199,2056710
TRUE,64,32,16384,1,13,65593,62.1287,1032280
TRUE,64,64,65536,1,14,64726,77.0804,1661370
TRUE,64,32,32768,4,9,71772,61.1938,1294760
TRUE,16,128,131072,4,10,76659,128.101,3086720
TRUE,16,64,131072,1,9,70270,141.119,3144410
TRUE,64,128,131072,1,8,63806,134.482,2861180
TRUE,16,32,16384,3,11,80858,55.4572,1126790
TRUE,32,32,131072,1,14,66208,136.689,3100460
TRUE,32,128,32768,4,9,74024,62.1495,1338930
TRUE,32,32,16384,1,5,66532,62.3805,1107870
TRUE,16,32,32768,4,5,77135,61.7751,1445110
TRUE,64,128,131072,1,13,64327,136.5,2861180
TRUE,64,64,65536,2,6,66993,75.1674,1671260
TRUE,32,32,65536,4,10,74920,69.8302,1834930
TRUE,32,128,131072,3,11,71061,126.887,3100460
TRUE,64,64,32768,1,10,63805,67.542,1284880
TRUE,16,128,65536,1,11,71001,76.7457,2046830
TRUE,16,32,16384,2,12,79426,55.7988,1082250
TRUE,16,64,65536,3,15,76389,71.5366,2012170
TRUE,64,32,65536,1,13,64217,77.5997,1661370
TRUE,32,64,32768,4,9,74171,62.0431,1338930
TRUE,16,64,16384,2,14,79032,56.0143,1082250
TRUE,64,128,16384,1,8,64836,62.7497,1032280
TRUE,64,32,131072,1,5,64212,136.842,2861180
TRUE,64,64,32768,4,6,72199,61.2839,1294760
TRUE,32,32,32768,3,7,70898,64.2098,1338930
TRUE,64,64,32768,2,11,66290,66.6368,1339300
TRUE,32,128,16384,2,16,70041,60.0128,1117760
TRUE,64,32,131072,1,6,64217,136.708,2861180
TRUE,16,64,131072,4,8,76996,128.271,3131260
TRUE,16,32,16384,4,9,83076,54.6249,1149060
TRUE,64,32,131072,4,7,71742,123.334,2871060
TRUE,64,32,16384,1,9,65628,62.1091,1032280
TRUE,64,128,16384,3,10,70298,58.2983,1042170
TRUE,16,128,131072,2,8,74182,134.034,3109760
TRUE,64,64,32768,4,10,71983,61.4311,1294760
TRUE,64,32,65536,4,12,72360,70.1416,1671260
TRUE,16,32,65536,2,12,74559,73.7733,2056710
TRUE,32,32,65536,1,7,65866,77.1159,1790780
TRUE,64,32,32768,3,15,68961,63.5486,1294760
TRUE,64,32,32768,1,5,63828,67.5223,1284880
TRUE,16,64,65536,1,4,70290,77.4074,2046830
TRUE,16,32,131072,3,7,77900,127.829,3154290
TRUE,16,32,131072,1,13,70192,141.389,3144410
TRUE,32,64,131072,2,4,68829,131.443,3145760
TRUE,64,64,65536,3,7,68781,72.86,1671260
TRUE,64,64,32768,2,5,67123,65.4091,1294760
TRUE,16,32,65536,2,15,73736,73.8559,2012170
TRUE,32,128,32768,2,7,68636,65.8689,1294390
TRUE,16,64,65536,1,11,71380,76.412,2046830
TRUE,32,128,65536,4,13,73891,70.3518,1836080
TRUE,64,32,65536,3,7,68666,72.156,1671260
TRUE,16,64,16384,3,6,81083,55.3882,1126790
TRUE,64,32,131072,4,8,71899,120.44,2871060
TRUE,64,128,131072,4,10,72153,122.789,2871060
TRUE,16,32,65536,1,4,71001,76.7288,2046830
TRUE,64,32,16384,4,15,74283,55.7368,1042170
TRUE,16,64,131072,4,10,77179,127.96,3131260
TRUE,16,32,131072,1,10,70876,139.936,3144410
TRUE,16,128,131072,3,7,76602,129.677,3154290
TRUE,32,128,65536,2,12,68668,75.076,1836080
TRUE,16,64,16384,1,16,78228,56.4432,1072370
TRUE,16,64,32768,4,6,77008,61.9088,1445110
TRUE,16,64,65536,2,5,73523,74.5331,2056710
TRUE,16,64,131072,1,13,70506,140.684,3144410
TRUE,64,128,131072,4,12,72168,122.731,2871060
TRUE,16,128,65536,3,11,75955,72.4363,2056710
TRUE,16,128,131072,3,4,76627,129.847,3154290
TRUE,64,64,32768,1,16,64412,67.454,1284880
TRUE,64,128,32768,1,11,64067,67.7533,1284880
TRUE,32,128,65536,1,5,65909,77.3894,1826200
TRUE,32,128,32768,4,12,74222,61.3288,1293250
TRUE,32,32,131072,3,7,69421,129.38,3100460
TRUE,64,128,32768,1,5,64056,67.7663,1284880
TRUE,16,128,65536,4,5,77025,71.2221,2033670
TRUE,32,32,131072,4,9,74682,122.945,3100070
